home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result
Royal AM,Cape Town City,1,1,FINISHED,2024-09-14,1557198,Matchday 1,2024-2025,1557198,D
Marumo Gallants,Kaizer Chiefs,1,2,FINISHED,2024-09-14,1557225,Matchday 1,2024-2025,1557225,A
Polokwane City,AmaZulu,2,1,FINISHED,2024-09-14,1557223,Matchday 1,2024-2025,1557223,H
Richards Bay,TS Galaxy,1,0,FINISHED,2024-09-15,1557221,Matchday 1,2024-2025,1557221,H
Mamelodi Sundowns,Siwelele,2,0,FINISHED,2024-09-17,1557212,Matchday 1,2024-2025,1557212,H
Sekhukhune United,Magesi,1,0,FINISHED,2024-09-18,1557222,Matchday 1,2024-2025,1557222,H
Stellenbosch,Golden Arrows,0,2,FINISHED,2024-09-18,1557220,Matchday 1,2024-2025,1557220,A
Orlando Pirates,Chippa United,2,1,FINISHED,2024-09-18,1557224,Matchday 1,2024-2025,1557224,H
Magesi,Polokwane City,0,2,FINISHED,2024-09-21,1557216,Matchday 2,2024-2025,1557216,A
Golden Arrows,Marumo Gallants,2,0,FINISHED,2024-09-21,1557217,Matchday 2,2024-2025,1557217,H
Siwelele,Royal AM,0,0,FINISHED,2024-09-21,1557215,Matchday 2,2024-2025,1557215,D
Chippa United,Richards Bay,1,0,FINISHED,2024-09-21,1557227,Matchday 2,2024-2025,1557227,H
Cape Town City,Orlando Pirates,1,0,FINISHED,2025-01-08,1557218,Matchday 2,2024-2025,1557218,H
Kaizer Chiefs,Stellenbosch,2,1,FINISHED,2025-01-08,1557213,Matchday 2,2024-2025,1557213,H
AmaZulu,Sekhukhune United,0,2,FINISHED,2025-01-08,1557228,Matchday 2,2024-2025,1557228,A
TS Galaxy,Mamelodi Sundowns,1,0,FINISHED,2025-02-11,1557219,Matchday 2,2024-2025,1557219,H
Orlando Pirates,Polokwane City,3,0,FINISHED,2024-09-24,1557211,Matchday 3,2024-2025,1557211,H
Mamelodi Sundowns,Marumo Gallants,4,1,FINISHED,2024-09-24,1557210,Matchday 3,2024-2025,1557210,H
Royal AM,Richards Bay,0,0,FINISHED,2024-09-24,1557209,Matchday 3,2024-2025,1557209,D
Siwelele,TS Galaxy,1,0,FINISHED,2024-09-25,1557206,Matchday 3,2024-2025,1557206,H
Stellenbosch,Cape Town City,3,0,FINISHED,2024-09-25,1557205,Matchday 3,2024-2025,1557205,H
Sekhukhune United,Chippa United,1,1,FINISHED,2024-09-25,1557207,Matchday 3,2024-2025,1557207,D
AmaZulu,Kaizer Chiefs,1,3,FINISHED,2024-09-25,1557204,Matchday 3,2024-2025,1557204,A
Golden Arrows,Magesi,0,1,FINISHED,2024-09-26,1557208,Matchday 3,2024-2025,1557208,A
Sekhukhune United,Golden Arrows,2,0,FINISHED,2024-09-28,1557203,Matchday 4,2024-2025,1557203,H
Kaizer Chiefs,Mamelodi Sundowns,1,2,FINISHED,2024-09-28,1557202,Matchday 4,2024-2025,1557202,A
Magesi,Royal AM,0,0,FINISHED,2024-09-28,1557201,Matchday 4,2024-2025,1557201,D
Cape Town City,Siwelele,1,0,FINISHED,2024-09-28,1557200,Matchday 4,2024-2025,1557200,H
Marumo Gallants,AmaZulu,1,0,FINISHED,2024-09-28,1557257,Matchday 4,2024-2025,1557257,H
Chippa United,TS Galaxy,2,1,FINISHED,2024-09-29,1557242,Matchday 4,2024-2025,1557242,H
Richards Bay,Orlando Pirates,0,1,FINISHED,2024-09-29,1557214,Matchday 4,2024-2025,1557214,A
Polokwane City,Stellenbosch,1,1,FINISHED,2024-09-29,1557138,Matchday 4,2024-2025,1557138,D
Orlando Pirates,AmaZulu,2,1,FINISHED,2024-10-25,1557255,Matchday 5,2024-2025,1557255,H
Royal AM,Sekhukhune United,2,0,FINISHED,2024-10-26,1557250,Matchday 5,2024-2025,1557250,H
Richards Bay,Stellenbosch,0,0,FINISHED,2024-10-26,1557254,Matchday 5,2024-2025,1557254,D
Marumo Gallants,TS Galaxy,1,1,FINISHED,2024-10-26,1557253,Matchday 5,2024-2025,1557253,D
Siwelele,Kaizer Chiefs,1,0,FINISHED,2024-10-26,1557252,Matchday 5,2024-2025,1557252,H
Chippa United,Golden Arrows,2,0,FINISHED,2024-10-26,1557251,Matchday 5,2024-2025,1557251,H
Cape Town City,Magesi,0,0,FINISHED,2024-10-27,1557249,Matchday 5,2024-2025,1557249,D
Polokwane City,Mamelodi Sundowns,1,0,FINISHED,2024-10-27,1557248,Matchday 5,2024-2025,1557248,H
AmaZulu,Chippa United,2,0,FINISHED,2024-10-29,1557247,Matchday 6,2024-2025,1557247,H
Sekhukhune United,Richards Bay,2,0,FINISHED,2024-10-29,1557246,Matchday 6,2024-2025,1557246,H
TS Galaxy,Orlando Pirates,0,2,FINISHED,2024-10-29,1557245,Matchday 6,2024-2025,1557245,A
Mamelodi Sundowns,Cape Town City,3,0,FINISHED,2024-10-30,1557197,Matchday 6,2024-2025,1557197,H
Golden Arrows,Siwelele,0,0,FINISHED,2024-10-30,1557226,Matchday 6,2024-2025,1557226,D
Royal AM,Polokwane City,0,1,FINISHED,2024-10-30,1557240,Matchday 6,2024-2025,1557240,A
Magesi,Kaizer Chiefs,2,2,FINISHED,2024-10-30,1557241,Matchday 6,2024-2025,1557241,D
Stellenbosch,Marumo Gallants,1,0,FINISHED,2024-10-31,1557243,Matchday 6,2024-2025,1557243,H
Siwelele,Marumo Gallants,0,1,FINISHED,2024-11-29,1557232,Matchday 7,2024-2025,1557232,A
Richards Bay,AmaZulu,1,3,FINISHED,2024-11-30,1557239,Matchday 7,2024-2025,1557239,A
Kaizer Chiefs,Royal AM,2,2,FINISHED,2024-11-30,1557236,Matchday 7,2024-2025,1557236,D
Mamelodi Sundowns,Sekhukhune United,3,0,FINISHED,2024-11-30,1557237,Matchday 7,2024-2025,1557237,H
Chippa United,Magesi,2,0,FINISHED,2024-11-30,1557234,Matchday 7,2024-2025,1557234,H
Orlando Pirates,Stellenbosch,0,1,FINISHED,2024-12-01,1557233,Matchday 7,2024-2025,1557233,A
Golden Arrows,Cape Town City,3,2,FINISHED,2024-12-01,1557238,Matchday 7,2024-2025,1557238,H
Polokwane City,TS Galaxy,1,1,FINISHED,2024-12-01,1557235,Matchday 7,2024-2025,1557235,D
Sekhukhune United,TS Galaxy,1,3,FINISHED,2024-11-26,1557244,Matchday 8,2024-2025,1557244,A
Chippa United,Siwelele,0,0,FINISHED,2024-11-26,1557231,Matchday 8,2024-2025,1557231,D
Royal AM,Golden Arrows,2,3,FINISHED,2024-11-26,1557229,Matchday 8,2024-2025,1557229,A
Kaizer Chiefs,Richards Bay,2,1,FINISHED,2024-11-27,1557164,Matchday 8,2024-2025,1557164,H
Cape Town City,Polokwane City,1,0,FINISHED,2024-11-27,1557199,Matchday 8,2024-2025,1557199,H
AmaZulu,Mamelodi Sundowns,0,1,FINISHED,2024-12-24,1557165,Matchday 8,2024-2025,1557165,A
Marumo Gallants,Orlando Pirates,2,0,FINISHED,2025-03-01,1557230,Matchday 8,2024-2025,1557230,H
Magesi,Stellenbosch,1,0,FINISHED,2025-03-29,1557152,Matchday 8,2024-2025,1557152,H
Richards Bay,Siwelele,0,1,FINISHED,2024-12-06,1557161,Matchday 9,2024-2025,1557161,A
TS Galaxy,AmaZulu,1,0,FINISHED,2024-12-07,1557159,Matchday 9,2024-2025,1557159,H
Marumo Gallants,Magesi,3,1,FINISHED,2024-12-07,1557160,Matchday 9,2024-2025,1557160,H
Stellenbosch,Royal AM,,,UPCOMING,2024-12-07,1557163,Matchday 9,2024-2025,1557163,
Sekhukhune United,Cape Town City,1,0,FINISHED,2024-12-07,1557158,Matchday 9,2024-2025,1557158,H
Polokwane City,Kaizer Chiefs,2,0,FINISHED,2024-12-08,1557156,Matchday 9,2024-2025,1557156,H
Mamelodi Sundowns,Chippa United,3,0,FINISHED,2025-05-07,1557157,Matchday 9,2024-2025,1557157,H
Orlando Pirates,Golden Arrows,3,0,FINISHED,2025-05-13,1557162,Matchday 9,2024-2025,1557162,H
AmaZulu,Royal AM,2,1,FINISHED,2024-12-13,1557155,Matchday 10,2024-2025,1557155,H
Golden Arrows,Richards Bay,0,1,FINISHED,2024-12-14,1557153,Matchday 10,2024-2025,1557153,A
Chippa United,Cape Town City,0,1,FINISHED,2024-12-14,1557168,Matchday 10,2024-2025,1557168,A
Siwelele,Magesi,1,0,FINISHED,2024-12-14,1557150,Matchday 10,2024-2025,1557150,H
Polokwane City,Marumo Gallants,1,0,FINISHED,2024-12-15,1557149,Matchday 10,2024-2025,1557149,H
TS Galaxy,Kaizer Chiefs,1,1,FINISHED,2024-12-16,1557148,Matchday 10,2024-2025,1557148,D
Stellenbosch,Mamelodi Sundowns,0,1,FINISHED,2024-12-18,1557151,Matchday 10,2024-2025,1557151,A
Orlando Pirates,Sekhukhune United,0,1,FINISHED,2025-04-30,1557167,Matchday 10,2024-2025,1557167,A
Golden Arrows,Polokwane City,0,0,FINISHED,2024-12-28,1557146,Matchday 11,2024-2025,1557146,D
Richards Bay,Mamelodi Sundowns,0,2,FINISHED,2024-12-28,1557147,Matchday 11,2024-2025,1557147,A
Sekhukhune United,Marumo Gallants,1,0,FINISHED,2024-12-28,1557145,Matchday 11,2024-2025,1557145,H
Siwelele,Stellenbosch,1,1,FINISHED,2024-12-28,1557144,Matchday 11,2024-2025,1557144,D
Royal AM,TS Galaxy,1,3,FINISHED,2024-12-29,1557143,Matchday 11,2024-2025,1557143,A
Magesi,Orlando Pirates,0,1,FINISHED,2024-12-29,1557142,Matchday 11,2024-2025,1557142,A
Cape Town City,AmaZulu,0,1,FINISHED,2024-12-29,1557141,Matchday 11,2024-2025,1557141,A
Kaizer Chiefs,Chippa United,1,0,FINISHED,2024-12-29,1557140,Matchday 11,2024-2025,1557140,H
Orlando Pirates,Siwelele,2,0,FINISHED,2024-10-22,1557139,Matchday 12,2024-2025,1557139,H
Chippa United,Stellenbosch,0,2,FINISHED,2024-10-23,1557314,Matchday 12,2024-2025,1557314,A
Mamelodi Sundowns,Royal AM,2,1,FINISHED,2024-10-23,1557195,Matchday 12,2024-2025,1557195,H
AmaZulu,Golden Arrows,0,0,FINISHED,2025-01-04,1557196,Matchday 12,2024-2025,1557196,D
TS Galaxy,Magesi,0,0,FINISHED,2025-01-04,1557182,Matchday 12,2024-2025,1557182,D
Marumo Gallants,Richards Bay,0,0,FINISHED,2025-01-04,1557194,Matchday 12,2024-2025,1557194,D
Polokwane City,Sekhukhune United,1,1,FINISHED,2025-01-05,1557193,Matchday 12,2024-2025,1557193,D
Cape Town City,Kaizer Chiefs,1,0,FINISHED,2025-01-05,1557192,Matchday 12,2024-2025,1557192,H
Stellenbosch,TS Galaxy,1,1,FINISHED,2024-11-06,1557186,Matchday 13,2024-2025,1557186,D
Magesi,AmaZulu,0,1,FINISHED,2025-01-11,1557190,Matchday 13,2024-2025,1557190,A
