home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result,home_rolling_points_last5,away_rolling_points_last5,home_rolling_points_last10,away_rolling_points_last10,home_gd_trend_last5,away_gd_trend_last5,travel_distance_km,home_squad_value,away_squad_value,squad_value_ratio
Mamelodi Sundowns,AmaZulu,1.0,0.0,FINISHED,2021-08-20,1297526,Matchday 1,2021-2022,1297526,H,,,,,,,530.738182466435,40400000.0,10880000.0,3.713235294117647
Cape Town City,Siwelele,0.0,0.0,FINISHED,2021-08-21,1297523,Matchday 1,2021-2022,1297523,D,,,,,,,908.4018379382446,,5250000.0,
Baroka FC,Marumo Gallants,2.0,0.0,FINISHED,2021-08-21,1297524,Matchday 1,2021-2022,1297524,H,,,,,,,666.410273920029,,2930000.0,
Golden Arrows,Maritzburg United,2.0,1.0,FINISHED,2021-08-21,1297513,Matchday 1,2021-2022,1297513,H,,,,,,,63.24186922409978,6830000.0,,
Orlando Pirates,Stellenbosch,2.0,2.0,FINISHED,2021-08-21,1297525,Matchday 1,2021-2022,1297525,D,,,,,,,1220.6858842275062,22330000.0,6080000.0,3.6726973684210527
Sekhukhune United,Chippa United,0.0,1.0,FINISHED,2021-08-21,1297499,Matchday 1,2021-2022,1297499,A,,,,,,,1021.3060443774077,9700000.0,5180000.0,1.8725868725868726
TS Galaxy,Kaizer Chiefs,0.0,0.0,FINISHED,2021-08-22,1297521,Matchday 1,2021-2022,1297521,D,,,,,,,307.1715110310044,3680000.0,16230000.0,0.22674060382008626
Swallows FC,Royal AM,1.0,0.0,FINISHED,2021-08-22,1297522,Matchday 1,2021-2022,1297522,H,,,,,,,505.1230639312536,,,
Chippa United,Mamelodi Sundowns,0.0,0.0,FINISHED,2021-08-24,1297519,Matchday 2,2021-2022,1297519,D,3.0,3.0,3.0,3.0,1.0,1.0,807.1414964025447,5180000.0,40400000.0,0.12821782178217822
Marumo Gallants,Orlando Pirates,0.0,0.0,FINISHED,2021-08-24,1297520,Matchday 2,2021-2022,1297520,D,0.0,1.0,0.0,1.0,-2.0,0.0,367.02395017310073,2930000.0,22330000.0,0.13121361397223466
Royal AM,Cape Town City,1.0,2.0,FINISHED,2021-08-25,1297516,Matchday 2,2021-2022,1297516,A,0.0,1.0,0.0,1.0,-1.0,0.0,1256.623529163144,,,
Maritzburg United,Sekhukhune United,0.0,2.0,FINISHED,2021-08-25,1297528,Matchday 2,2021-2022,1297528,A,0.0,0.0,0.0,0.0,-1.0,-1.0,639.4815251250209,,9700000.0,
Siwelele,Golden Arrows,3.0,1.0,FINISHED,2021-08-25,1297517,Matchday 2,2021-2022,1297517,H,1.0,3.0,1.0,3.0,0.0,1.0,459.8354704753759,5250000.0,6830000.0,0.7686676427525623
Kaizer Chiefs,Baroka FC,2.0,1.0,FINISHED,2021-08-25,1297518,Matchday 2,2021-2022,1297518,H,1.0,3.0,1.0,3.0,0.0,2.0,297.22531271282986,16230000.0,,
AmaZulu,Swallows FC,0.0,0.0,FINISHED,2021-08-25,1297514,Matchday 2,2021-2022,1297514,D,0.0,3.0,0.0,3.0,-1.0,1.0,507.00453102470146,10880000.0,,
Stellenbosch,TS Galaxy,1.0,0.0,FINISHED,2021-08-25,1297529,Matchday 2,2021-2022,1297529,H,1.0,1.0,1.0,1.0,0.0,0.0,1496.21522813951,6080000.0,3680000.0,1.6521739130434783
