home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season,match_id,result
Golden Arrows,Chippa United,0,0,FINISHED,2026-08-01,21920138,Matchday 1,2026-2027,21920138,D
Stellenbosch,AmaZulu,0,1,FINISHED,2026-08-01,21920135,Matchday 1,2026-2027,21920135,A
Orlando Pirates,Milford FC,2,0,FINISHED,2026-08-01,21920061,Matchday 1,2026-2027,21920061,H
Sekhukhune United,Durban City,1,0,FINISHED,2026-08-01,21920101,Matchday 1,2026-2027,21920101,H
Kruger United,Kaizer Chiefs,1,3,FINISHED,2026-08-01,21920046,Matchday 1,2026-2027,21920046,A
Richards Bay,Polokwane City,1,2,FINISHED,2026-08-02,21920230,Matchday 1,2026-2027,21920230,A
Siwelele,TS Galaxy,2,2,FINISHED,2026-08-02,21920097,Matchday 1,2026-2027,21920097,D
Mamelodi Sundowns,Marumo Gallants,2,0,FINISHED,2026-08-19,21920171,Matchday 1,2026-2027,21920171,H
TS Galaxy,Mamelodi Sundowns,2,3,FINISHED,2026-08-11,21920224,Matchday 2,2026-2027,21920224,A
Polokwane City,Stellenbosch,3,3,FINISHED,2026-08-11,21920174,Matchday 2,2026-2027,21920174,D
Marumo Gallants,Kruger United,0,0,FINISHED,2026-08-11,21920141,Matchday 2,2026-2027,21920141,D
Chippa United,Richards Bay,1,1,FINISHED,2026-08-11,21920100,Matchday 2,2026-2027,21920100,D
Milford FC,Siwelele,1,0,FINISHED,2026-08-12,21920225,Matchday 2,2026-2027,21920225,H
Kaizer Chiefs,Sekhukhune United,2,0,FINISHED,2026-08-12,21920052,Matchday 2,2026-2027,21920052,H
AmaZulu,Orlando Pirates,1,1,FINISHED,2026-08-12,21920117,Matchday 2,2026-2027,21920117,D
Durban City,Golden Arrows,0,0,FINISHED,2026-08-12,21920080,Matchday 2,2026-2027,21920080,D
Stellenbosch,Marumo Gallants,3,1,FINISHED,2026-08-14,21920036,Matchday 3,2026-2027,21920036,H
Kaizer Chiefs,Mamelodi Sundowns,1,1,FINISHED,2026-08-15,21920192,Matchday 3,2026-2027,21920192,D
AmaZulu,Siwelele,2,0,FINISHED,2026-08-15,21920126,Matchday 3,2026-2027,21920126,H
Sekhukhune United,Polokwane City,2,0,FINISHED,2026-08-15,21920153,Matchday 3,2026-2027,21920153,H
Durban City,Richards Bay,1,1,FINISHED,2026-08-15,21920034,Matchday 3,2026-2027,21920034,D
Milford FC,Kruger United,2,1,FINISHED,2026-08-15,21920115,Matchday 3,2026-2027,21920115,H
Chippa United,Orlando Pirates,0,3,FINISHED,2026-08-16,21920109,Matchday 3,2026-2027,21920109,A
TS Galaxy,Golden Arrows,0,0,FINISHED,2026-08-16,21920201,Matchday 3,2026-2027,21920201,D
Siwelele,Chippa United,1,1,FINISHED,2026-08-25,21920151,Matchday 4,2026-2027,21920151,D
Kruger United,Durban City,0,2,FINISHED,2026-08-25,21920047,Matchday 4,2026-2027,21920047,A
Marumo Gallants,TS Galaxy,2,3,FINISHED,2026-08-25,21920067,Matchday 4,2026-2027,21920067,A
Orlando Pirates,Sekhukhune United,2,0,FINISHED,2026-08-25,21920203,Matchday 4,2026-2027,21920203,H
Polokwane City,Milford FC,0,0,FINISHED,2026-08-26,21920159,Matchday 4,2026-2027,21920159,D
Golden Arrows,Stellenbosch,1,0,FINISHED,2026-08-26,21920228,Matchday 4,2026-2027,21920228,H
Mamelodi Sundowns,AmaZulu,5,2,FINISHED,2026-08-26,21920122,Matchday 4,2026-2027,21920122,H
Richards Bay,Kaizer Chiefs,2,2,FINISHED,2026-08-26,21920164,Matchday 4,2026-2027,21920164,D
Durban City,Stellenbosch,0,0,FINISHED,2026-09-01,21920186,Matchday 5,2026-2027,21920186,D
Kruger United,Orlando Pirates,0,4,FINISHED,2026-09-01,21920079,Matchday 5,2026-2027,21920079,A
Richards Bay,AmaZulu,1,2,FINISHED,2026-09-04,21920148,Matchday 5,2026-2027,21920148,A
Marumo Gallants,Polokwane City,2,2,FINISHED,2026-09-04,21920180,Matchday 5,2026-2027,21920180,D
Chippa United,Milford FC,0,0,FINISHED,2026-09-05,21920200,Matchday 5,2026-2027,21920200,D
Sekhukhune United,TS Galaxy,0,0,FINISHED,2026-09-05,21920193,Matchday 5,2026-2027,21920193,D
Golden Arrows,Mamelodi Sundowns,1,2,FINISHED,2026-09-06,21920120,Matchday 5,2026-2027,21920120,A
Kaizer Chiefs,Siwelele,3,2,FINISHED,2026-09-06,21920202,Matchday 5,2026-2027,21920202,H
Stellenbosch,Sekhukhune United,1,1,FINISHED,2026-09-11,21920185,Matchday 6,2026-2027,21920185,D
AmaZulu,Marumo Gallants,1,0,FINISHED,2026-09-12,21920146,Matchday 6,2026-2027,21920146,H
Polokwane City,Kaizer Chiefs,1,1,FINISHED,2026-09-12,21920215,Matchday 6,2026-2027,21920215,D
Chippa United,Mamelodi Sundowns,1,1,FINISHED,2026-09-12,21920188,Matchday 6,2026-2027,21920188,D
Siwelele,Golden Arrows,1,1,FINISHED,2026-09-13,21920116,Matchday 6,2026-2027,21920116,D
Milford FC,Richards Bay,5,1,FINISHED,2026-09-13,21920084,Matchday 6,2026-2027,21920084,H
TS Galaxy,Kruger United,0,1,FINISHED,2026-09-13,21920156,Matchday 6,2026-2027,21920156,A
Orlando Pirates,Durban City,,,UPCOMING,2026-09-17,21920112,Matchday 6,2026-2027,21920112,
Mamelodi Sundowns,Siwelele,3,0,FINISHED,2026-09-09,21920012,Matchday 7,2026-2027,21920012,H
Richards Bay,Sekhukhune United,,,UPCOMING,2026-09-19,21920165,Matchday 7,2026-2027,21920165,
Polokwane City,AmaZulu,,,UPCOMING,2026-09-19,21920050,Matchday 7,2026-2027,21920050,
Kruger United,Stellenbosch,,,UPCOMING,2026-09-19,21920195,Matchday 7,2026-2027,21920195,
Golden Arrows,Kaizer Chiefs,,,UPCOMING,2026-09-20,21920199,Matchday 7,2026-2027,21920199,
Milford FC,Durban City,,,UPCOMING,2026-09-20,21920145,Matchday 7,2026-2027,21920145,
Marumo Gallants,Orlando Pirates,,,UPCOMING,2026-09-20,21920170,Matchday 7,2026-2027,21920170,
TS Galaxy,Chippa United,,,UPCOMING,2026-09-20,21920088,Matchday 7,2026-2027,21920088,
Durban City,AmaZulu,,,UPCOMING,2026-10-13,21920123,Matchday 8,2026-2027,21920123,
Golden Arrows,Milford FC,,,UPCOMING,2026-10-17,21920024,Matchday 8,2026-2027,21920024,
Chippa United,Kruger United,,,UPCOMING,2026-10-17,21920176,Matchday 8,2026-2027,21920176,
Kaizer Chiefs,Stellenbosch,,,UPCOMING,2026-10-17,21920173,Matchday 8,2026-2027,21920173,
Sekhukhune United,Marumo Gallants,,,UPCOMING,2026-10-17,21920196,Matchday 8,2026-2027,21920196,
Richards Bay,Mamelodi Sundowns,,,UPCOMING,2026-10-17,21920223,Matchday 8,2026-2027,21920223,
Siwelele,Polokwane City,,,UPCOMING,2026-10-18,21920099,Matchday 8,2026-2027,21920099,
Orlando Pirates,TS Galaxy,,,UPCOMING,2026-10-18,21920191,Matchday 8,2026-2027,21920191,
Marumo Gallants,Siwelele,,,UPCOMING,2026-10-30,21920054,Matchday 9,2026-2027,21920054,
Stellenbosch,Chippa United,,,UPCOMING,2026-10-30,21920007,Matchday 9,2026-2027,21920007,
Orlando Pirates,Kaizer Chiefs,,,UPCOMING,2026-10-31,21920178,Matchday 9,2026-2027,21920178,
AmaZulu,Golden Arrows,,,UPCOMING,2026-10-31,21920063,Matchday 9,2026-2027,21920063,
Polokwane City,TS Galaxy,,,UPCOMING,2026-10-31,21920114,Matchday 9,2026-2027,21920114,
Kruger United,Richards Bay,,,UPCOMING,2026-10-31,21920071,Matchday 9,2026-2027,21920071,
Mamelodi Sundowns,Durban City,,,UPCOMING,2026-11-01,21920118,Matchday 9,2026-2027,21920118,
Milford FC,Sekhukhune United,,,UPCOMING,2026-11-01,21920217,Matchday 9,2026-2027,21920217,
Mamelodi Sundowns,Milford FC,2,0,FINISHED,2026-09-02,21920095,Matchday 10,2026-2027,21920095,H
Siwelele,Orlando Pirates,,,UPCOMING,2026-11-04,21920214,Matchday 10,2026-2027,21920214,
Chippa United,Sekhukhune United,,,UPCOMING,2026-11-04,21920043,Matchday 10,2026-2027,21920043,
Polokwane City,Kruger United,,,UPCOMING,2026-11-04,21920212,Matchday 10,2026-2027,21920212,
Golden Arrows,Marumo Gallants,,,UPCOMING,2026-11-04,21920098,Matchday 10,2026-2027,21920098,
Kaizer Chiefs,AmaZulu,,,UPCOMING,2026-11-04,21920086,Matchday 10,2026-2027,21920086,
TS Galaxy,Durban City,,,UPCOMING,2026-11-04,21920065,Matchday 10,2026-2027,21920065,
Richards Bay,Stellenbosch,,,UPCOMING,2026-11-04,21920019,Matchday 10,2026-2027,21920019,
Stellenbosch,TS Galaxy,,,UPCOMING,2026-11-27,21920030,Matchday 11,2026-2027,21920030,
Durban City,Polokwane City,,,UPCOMING,2026-11-27,21920022,Matchday 11,2026-2027,21920022,
Chippa United,Kaizer Chiefs,,,UPCOMING,2026-11-28,21920083,Matchday 11,2026-2027,21920083,
AmaZulu,Milford FC,,,UPCOMING,2026-11-28,21920237,Matchday 11,2026-2027,21920237,
Orlando Pirates,Golden Arrows,,,UPCOMING,2026-11-28,21920110,Matchday 11,2026-2027,21920110,
Kruger United,Mamelodi Sundowns,,,UPCOMING,2026-11-28,21920053,Matchday 11,2026-2027,21920053,
Marumo Gallants,Richards Bay,,,UPCOMING,2026-11-29,21920168,Matchday 11,2026-2027,21920168,
Sekhukhune United,Siwelele,,,UPCOMING,2026-11-29,21920010,Matchday 11,2026-2027,21920010,
Marumo Gallants,Chippa United,,,UPCOMING,2026-12-04,21920194,Matchday 12,2026-2027,21920194,
Golden Arrows,Kruger United,,,UPCOMING,2026-12-05,21920040,Matchday 12,2026-2027,21920040,
Orlando Pirates,Stellenbosch,,,UPCOMING,2026-12-05,21920127,Matchday 12,2026-2027,21920127,
Mamelodi Sundowns,Polokwane City,,,UPCOMING,2026-12-05,21920032,Matchday 12,2026-2027,21920032,
Sekhukhune United,AmaZulu,,,UPCOMING,2026-12-05,21920139,Matchday 12,2026-2027,21920139,
Milford FC,Kaizer Chiefs,,,UPCOMING,2026-12-05,21920129,Matchday 12,2026-2027,21920129,
Siwelele,Durban City,,,UPCOMING,2026-12-06,21920229,Matchday 12,2026-2027,21920229,
TS Galaxy,Richards Bay,,,UPCOMING,2026-12-06,21920073,Matchday 12,2026-2027,21920073,
Stellenbosch,Milford FC,,,UPCOMING,2026-12-15,21920060,Matchday 13,2026-2027,21920060,
Chippa United,AmaZulu,,,UPCOMING,2026-12-15,21920169,Matchday 13,2026-2027,21920169,
Kruger United,Siwelele,,,UPCOMING,2026-12-15,21920008,Matchday 13,2026-2027,21920008,
Kaizer Chiefs,TS Galaxy,,,UPCOMING,2026-12-15,21920119,Matchday 13,2026-2027,21920119,
Mamelodi Sundowns,Sekhukhune United,,,UPCOMING,2026-12-15,21920014,Matchday 13,2026-2027,21920014,
Durban City,Marumo Gallants,,,UPCOMING,2026-12-15,21920049,Matchday 13,2026-2027,21920049,
Richards Bay,Orlando Pirates,,,UPCOMING,2026-12-16,21920069,Matchday 13,2026-2027,21920069,
Polokwane City,Golden Arrows,,,UPCOMING,2026-12-16,21920204,Matchday 13,2026-2027,21920204,
Stellenbosch,Mamelodi Sundowns,,,UPCOMING,2026-12-18,21920189,Matchday 14,2026-2027,21920189,
Marumo Gallants,Kaizer Chiefs,,,UPCOMING,2026-12-19,21920070,Matchday 14,2026-2027,21920070,
Sekhukhune United,Golden Arrows,,,UPCOMING,2026-12-19,21920207,Matchday 14,2026-2027,21920207,
AmaZulu,Kruger United,,,UPCOMING,2026-12-19,21920011,Matchday 14,2026-2027,21920011,
Orlando Pirates,Polokwane City,,,UPCOMING,2026-12-19,21920157,Matchday 14,2026-2027,21920157,
TS Galaxy,Milford FC,,,UPCOMING,2026-12-20,21920150,Matchday 14,2026-2027,21920150,
Richards Bay,Siwelele,,,UPCOMING,2026-12-20,21920243,Matchday 14,2026-2027,21920243,
Durban City,Chippa United,,,UPCOMING,2026-12-20,21920137,Matchday 14,2026-2027,21920137,
Siwelele,Stellenbosch,,,UPCOMING,2027-01-08,21920057,Matchday 15,2026-2027,21920057,
Polokwane City,Chippa United,,,UPCOMING,2027-01-09,21920038,Matchday 15,2026-2027,21920038,
AmaZulu,TS Galaxy,,,UPCOMING,2027-01-09,21920108,Matchday 15,2026-2027,21920108,
Golden Arrows,Richards Bay,,,UPCOMING,2027-01-09,21920134,Matchday 15,2026-2027,21920134,
Mamelodi Sundowns,Orlando Pirates,,,UPCOMING,2027-01-09,21920062,Matchday 15,2026-2027,21920062,
Milford FC,Marumo Gallants,,,UPCOMING,2027-01-10,21920091,Matchday 15,2026-2027,21920091,
Kruger United,Sekhukhune United,,,UPCOMING,2027-01-10,21920042,Matchday 15,2026-2027,21920042,
Kaizer Chiefs,Durban City,,,UPCOMING,2027-01-10,21920041,Matchday 15,2026-2027,21920041,
Richards Bay,Durban City,,,UPCOMING,2027-01-15,21920020,Matchday 16,2026-2027,21920020,
Stellenbosch,Polokwane City,,,UPCOMING,2027-01-16,21920056,Matchday 16,2026-2027,21920056,
Kruger United,Marumo Gallants,,,UPCOMING,2027-01-16,21920033,Matchday 16,2026-2027,21920033,
Orlando Pirates,AmaZulu,,,UPCOMING,2027-01-16,21920103,Matchday 16,2026-2027,21920103,
Milford FC,Mamelodi Sundowns,,,UPCOMING,2027-01-16,21920218,Matchday 16,2026-2027,21920218,
Sekhukhune United,Kaizer Chiefs,,,UPCOMING,2027-01-16,21920210,Matchday 16,2026-2027,21920210,
TS Galaxy,Siwelele,,,UPCOMING,2027-01-17,21920078,Matchday 16,2026-2027,21920078,
Chippa United,Golden Arrows,,,UPCOMING,2027-01-17,21920240,Matchday 16,2026-2027,21920240,
AmaZulu,Stellenbosch,,,UPCOMING,2027-01-22,21920003,Matchday 17,2026-2027,21920003,
Orlando Pirates,Kruger United,,,UPCOMING,2027-01-22,21920152,Matchday 17,2026-2027,21920152,
Golden Arrows,Siwelele,,,UPCOMING,2027-01-23,21920075,Matchday 17,2026-2027,21920075,
Mamelodi Sundowns,Richards Bay,,,UPCOMING,2027-01-23,21920068,Matchday 17,2026-2027,21920068,
Kaizer Chiefs,Chippa United,,,UPCOMING,2027-01-23,21920016,Matchday 17,2026-2027,21920016,
TS Galaxy,Polokwane City,,,UPCOMING,2027-01-23,21920136,Matchday 17,2026-2027,21920136,
Durban City,Milford FC,,,UPCOMING,2027-01-23,21920037,Matchday 17,2026-2027,21920037,
Marumo Gallants,Sekhukhune United,,,UPCOMING,2027-01-24,21920015,Matchday 17,2026-2027,21920015,
Milford FC,AmaZulu,,,UPCOMING,2027-02-05,21920198,Matchday 18,2026-2027,21920198,
Siwelele,Sekhukhune United,,,UPCOMING,2027-02-06,21920018,Matchday 18,2026-2027,21920018,
Stellenbosch,Kruger United,,,UPCOMING,2027-02-06,21920035,Matchday 18,2026-2027,21920035,
Polokwane City,Marumo Gallants,,,UPCOMING,2027-02-06,21920104,Matchday 18,2026-2027,21920104,
Golden Arrows,Orlando Pirates,,,UPCOMING,2027-02-06,21920155,Matchday 18,2026-2027,21920155,
Richards Bay,Chippa United,,,UPCOMING,2027-02-07,21920004,Matchday 18,2026-2027,21920004,
Mamelodi Sundowns,Kaizer Chiefs,,,UPCOMING,2027-02-07,21920090,Matchday 18,2026-2027,21920090,
Durban City,TS Galaxy,,,UPCOMING,2027-02-07,21920017,Matchday 18,2026-2027,21920017,
Chippa United,TS Galaxy,,,UPCOMING,2027-02-12,21920239,Matchday 19,2026-2027,21920239,
Milford FC,Golden Arrows,,,UPCOMING,2027-02-13,21920055,Matchday 19,2026-2027,21920055,
AmaZulu,Kaizer Chiefs,,,UPCOMING,2027-02-13,21920064,Matchday 19,2026-2027,21920064,
Stellenbosch,Richards Bay,,,UPCOMING,2027-02-13,21920162,Matchday 19,2026-2027,21920162,
Orlando Pirates,Siwelele,,,UPCOMING,2027-02-13,21920092,Matchday 19,2026-2027,21920092,
Marumo Gallants,Durban City,,,UPCOMING,2027-02-13,21920005,Matchday 19,2026-2027,21920005,
Sekhukhune United,Mamelodi Sundowns,,,UPCOMING,2027-02-14,21920226,Matchday 19,2026-2027,21920226,
Kruger United,Polokwane City,,,UPCOMING,2027-02-14,21920144,Matchday 19,2026-2027,21920144,
Mamelodi Sundowns,Stellenbosch,,,UPCOMING,2027-02-26,21920072,Matchday 20,2026-2027,21920072,
Durban City,Orlando Pirates,,,UPCOMING,2027-02-26,21920058,Matchday 20,2026-2027,21920058,
TS Galaxy,Marumo Gallants,,,UPCOMING,2027-02-27,21920013,Matchday 20,2026-2027,21920013,
