team_name,season,squad_market_value_eur,squad_size,avg_age
Mamelodi Sundowns,2026-27,40400000.0,44,28.1
AmaZulu,2026-27,10880000.0,37,25.4
Chippa United,2026-27,5180000.0,35,27.2
Durban City,2026-27,6830000.0,42,28.0
Golden Arrows,2026-27,6830000.0,42,26.8
Kaizer Chiefs,2026-27,16230000.0,33,26.9
Marumo Gallants,2026-27,2930000.0,36,28.6
Orlando Pirates,2026-27,22330000.0,38,26.1
Polokwane City,2026-27,4680000.0,38,27.7
Richards Bay,2026-27,6880000.0,35,26.9
Sekhukhune United,2026-27,9700000.0,36,26.8
Siwelele,2026-27,5250000.0,38,27.0
Stellenbosch,2026-27,6080000.0,25,27.5
TS Galaxy,2026-27,3680000.0,39,26.3
Kruger United,2026-27,2080000.0,51,28.4
Milford FC,2026-27,,39,29.4
