team_id,team_name,city,stadium,capacity,latitude,longitude
1,AmaZulu,Durban,Moses Mabhida Stadium,55500,-29.8290201,31.0313741
2,Chippa United,East London,Buffalo City Stadium,16000,-33.0067945,27.9057881
3,Durban City,Durban,Chatsworth Stadium,22000,-29.910398,30.877311
4,Golden Arrows,Umlazi,King Zwelithini Stadium,10000,-29.969496,30.899996
5,Kaizer Chiefs,Johannesburg (Soweto),FNB Stadium,94736,-26.2347063,27.9826439
6,Magesi,Seshego,Seshego Stadium,15000,-23.855407,29.388459
7,Mamelodi Sundowns,Pretoria (Marabastad),Loftus Versfeld Stadium,51762,-25.753229,28.222435
8,Marumo Gallants,Bloemfontein,Dr. Petrus Molemela Stadium,22000,-29.1743278,26.2335641
9,Orbit College,Rustenburg,Olympia Park,32000,-25.6578844,27.225394
10,Orlando Pirates,Johannesburg (Soweto),Orlando Stadium,37139,-26.2317243,27.9227989
11,Polokwane City,Polokwane,Old Peter Mokaba Stadium,15000,-23.924689,29.468765
12,Richards Bay,Richards Bay,Richards Bay Stadium,8000,-28.7435283,32.0565204
13,Sekhukhune United,Polokwane,Peter Mokaba Stadium,45500,-23.9248058,29.4679601
14,Siwelele,Bloemfontein,Dr. Petrus Molemela Stadium,22000,-29.1743278,26.2335641
15,Stellenbosch,Stellenbosch,Danie Craven Stadium,16000,-33.9401974,18.8734544
16,TS Galaxy,Mbombela,Mbombela Stadium,40929,-25.4617294,30.9296899
17,Kruger United,Mbombela,Mbombela Stadium,43500,-25.4617294,30.9296899
18,Milford FC,Durban,Sugar Ray Xulu Stadium,6500,-29.76833,30.884663
19,Royal AM,Durban,Chatsworth Stadium,22000,-29.910398,30.877311
20,Cape Town City,Cape Town,Cape Town Stadium,55000,-33.9034601,18.4111458
21,Maritzburg United,Pietermaritzburg,Harry Gwala Stadium,12000,-29.6172512,30.3854424
22,Swallows FC,Johannesburg (Soweto),Dobsonville Stadium,24000,-26.2264776,27.864046
23,Cape Town Spurs,Cape Town,Cape Town Stadium,55000,-33.9034601,18.4111458
24,Baroka FC,Polokwane,Peter Mokaba Stadium,45500,-23.9248058,29.4679601
