home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Royal AM,Cape Town City,1,1,FINISHED,14/09/2024,1557198,Matchday 1,2024-2025
Marumo Gallants,Kaizer Chiefs,1,2,FINISHED,14/09/2024,1557225,Matchday 1,2024-2025
Polokwane City,AmaZulu FC,2,1,FINISHED,14/09/2024,1557223,Matchday 1,2024-2025
Richards Bay,TS Galaxy,1,0,FINISHED,15/09/2024,1557221,Matchday 1,2024-2025
Mamelodi Sundowns,Siwelele FC,2,0,FINISHED,17/09/2024,1557212,Matchday 1,2024-2025
Sekhukhune United,Magesi,1,0,FINISHED,18/09/2024,1557222,Matchday 1,2024-2025
Stellenbosch,Golden Arrows,0,2,FINISHED,18/09/2024,1557220,Matchday 1,2024-2025
Orlando Pirates,Chippa United FC,2,1,FINISHED,18/09/2024,1557224,Matchday 1,2024-2025
Magesi,Polokwane City,0,2,FINISHED,21/09/2024,1557216,Matchday 2,2024-2025
Golden Arrows,Marumo Gallants,2,0,FINISHED,21/09/2024,1557217,Matchday 2,2024-2025
Siwelele FC,Royal AM,0,0,FINISHED,21/09/2024,1557215,Matchday 2,2024-2025
Chippa United FC,Richards Bay,1,0,FINISHED,21/09/2024,1557227,Matchday 2,2024-2025
Cape Town City,Orlando Pirates,1,0,FINISHED,08/01/2025,1557218,Matchday 2,2024-2025
Kaizer Chiefs,Stellenbosch,2,1,FINISHED,08/01/2025,1557213,Matchday 2,2024-2025
AmaZulu FC,Sekhukhune United,0,2,FINISHED,08/01/2025,1557228,Matchday 2,2024-2025
TS Galaxy,Mamelodi Sundowns,1,0,FINISHED,11/02/2025,1557219,Matchday 2,2024-2025
Orlando Pirates,Polokwane City,3,0,FINISHED,24/09/2024,1557211,Matchday 3,2024-2025
Mamelodi Sundowns,Marumo Gallants,4,1,FINISHED,24/09/2024,1557210,Matchday 3,2024-2025
Royal AM,Richards Bay,0,0,FINISHED,24/09/2024,1557209,Matchday 3,2024-2025
Siwelele FC,TS Galaxy,1,0,FINISHED,25/09/2024,1557206,Matchday 3,2024-2025
Stellenbosch,Cape Town City,3,0,FINISHED,25/09/2024,1557205,Matchday 3,2024-2025
Sekhukhune United,Chippa United FC,1,1,FINISHED,25/09/2024,1557207,Matchday 3,2024-2025
AmaZulu FC,Kaizer Chiefs,1,3,FINISHED,25/09/2024,1557204,Matchday 3,2024-2025
Golden Arrows,Magesi,0,1,FINISHED,26/09/2024,1557208,Matchday 3,2024-2025
Sekhukhune United,Golden Arrows,2,0,FINISHED,28/09/2024,1557203,Matchday 4,2024-2025
Kaizer Chiefs,Mamelodi Sundowns,1,2,FINISHED,28/09/2024,1557202,Matchday 4,2024-2025
Magesi,Royal AM,0,0,FINISHED,28/09/2024,1557201,Matchday 4,2024-2025
Cape Town City,Siwelele FC,1,0,FINISHED,28/09/2024,1557200,Matchday 4,2024-2025
Marumo Gallants,AmaZulu FC,1,0,FINISHED,28/09/2024,1557257,Matchday 4,2024-2025
Chippa United FC,TS Galaxy,2,1,FINISHED,29/09/2024,1557242,Matchday 4,2024-2025
Richards Bay,Orlando Pirates,0,1,FINISHED,29/09/2024,1557214,Matchday 4,2024-2025
Polokwane City,Stellenbosch,1,1,FINISHED,29/09/2024,1557138,Matchday 4,2024-2025
