home_team,away_team,home_score,away_score,status,date,netsport_id,matchday,season
Golden Arrows,Chippa United FC,0,0,FINISHED,01/08/2026,21920138,Matchday 1,2026-2027
Stellenbosch,AmaZulu FC,0,1,FINISHED,01/08/2026,21920135,Matchday 1,2026-2027
Orlando Pirates,Milford FC,2,0,FINISHED,01/08/2026,21920061,Matchday 1,2026-2027
Sekhukhune United,Durban City FC,1,0,FINISHED,01/08/2026,21920101,Matchday 1,2026-2027
Kruger United,Kaizer Chiefs,1,3,FINISHED,01/08/2026,21920046,Matchday 1,2026-2027
Richards Bay,Polokwane City,1,2,FINISHED,02/08/2026,21920230,Matchday 1,2026-2027
Siwelele FC,TS Galaxy,2,2,FINISHED,02/08/2026,21920097,Matchday 1,2026-2027
Mamelodi Sundowns,Marumo Gallants,2,0,FINISHED,19/08/2026,21920171,Matchday 1,2026-2027
TS Galaxy,Mamelodi Sundowns,2,3,FINISHED,11/08/2026,21920224,Matchday 2,2026-2027
Polokwane City,Stellenbosch,3,3,FINISHED,11/08/2026,21920174,Matchday 2,2026-2027
Marumo Gallants,Kruger United,0,0,FINISHED,11/08/2026,21920141,Matchday 2,2026-2027
Chippa United FC,Richards Bay,1,1,FINISHED,11/08/2026,21920100,Matchday 2,2026-2027
Milford FC,Siwelele FC,1,0,FINISHED,12/08/2026,21920225,Matchday 2,2026-2027
Kaizer Chiefs,Sekhukhune United,2,0,FINISHED,12/08/2026,21920052,Matchday 2,2026-2027
AmaZulu FC,Orlando Pirates,1,1,FINISHED,12/08/2026,21920117,Matchday 2,2026-2027
Durban City FC,Golden Arrows,0,0,FINISHED,12/08/2026,21920080,Matchday 2,2026-2027
Stellenbosch,Marumo Gallants,3,1,FINISHED,14/08/2026,21920036,Matchday 3,2026-2027
Kaizer Chiefs,Mamelodi Sundowns,1,1,FINISHED,15/08/2026,21920192,Matchday 3,2026-2027
AmaZulu FC,Siwelele FC,2,0,FINISHED,15/08/2026,21920126,Matchday 3,2026-2027
Sekhukhune United,Polokwane City,2,0,FINISHED,15/08/2026,21920153,Matchday 3,2026-2027
Durban City FC,Richards Bay,1,1,FINISHED,15/08/2026,21920034,Matchday 3,2026-2027
Milford FC,Kruger United,2,1,FINISHED,15/08/2026,21920115,Matchday 3,2026-2027
Chippa United FC,Orlando Pirates,0,3,FINISHED,16/08/2026,21920109,Matchday 3,2026-2027
TS Galaxy,Golden Arrows,0,0,FINISHED,16/08/2026,21920201,Matchday 3,2026-2027
Siwelele FC,Chippa United FC,1,1,FINISHED,25/08/2026,21920151,Matchday 4,2026-2027
Kruger United,Durban City FC,0,2,FINISHED,25/08/2026,21920047,Matchday 4,2026-2027
Marumo Gallants,TS Galaxy,2,3,FINISHED,25/08/2026,21920067,Matchday 4,2026-2027
Orlando Pirates,Sekhukhune United,2,0,FINISHED,25/08/2026,21920203,Matchday 4,2026-2027
Polokwane City,Milford FC,0,0,FINISHED,26/08/2026,21920159,Matchday 4,2026-2027
Golden Arrows,Stellenbosch,1,0,FINISHED,26/08/2026,21920228,Matchday 4,2026-2027
Mamelodi Sundowns,AmaZulu FC,5,2,FINISHED,26/08/2026,21920122,Matchday 4,2026-2027
Richards Bay,Kaizer Chiefs,2,2,FINISHED,26/08/2026,21920164,Matchday 4,2026-2027
Durban City FC,Stellenbosch,0,0,FINISHED,01/09/2026,21920186,Matchday 5,2026-2027
Kruger United,Orlando Pirates,0,4,FINISHED,01/09/2026,21920079,Matchday 5,2026-2027
Richards Bay,AmaZulu FC,1,2,FINISHED,04/09/2026,21920148,Matchday 5,2026-2027
Marumo Gallants,Polokwane City,2,2,FINISHED,04/09/2026,21920180,Matchday 5,2026-2027
Chippa United FC,Milford FC,0,0,FINISHED,05/09/2026,21920200,Matchday 5,2026-2027
Sekhukhune United,TS Galaxy,0,0,FINISHED,05/09/2026,21920193,Matchday 5,2026-2027
Golden Arrows,Mamelodi Sundowns,1,2,FINISHED,06/09/2026,21920120,Matchday 5,2026-2027
Kaizer Chiefs,Siwelele FC,3,2,FINISHED,06/09/2026,21920202,Matchday 5,2026-2027
Stellenbosch,Sekhukhune United,1,1,FINISHED,11/09/2026,21920185,Matchday 6,2026-2027
AmaZulu FC,Marumo Gallants,1,0,FINISHED,12/09/2026,21920146,Matchday 6,2026-2027
Polokwane City,Kaizer Chiefs,1,1,FINISHED,12/09/2026,21920215,Matchday 6,2026-2027
Chippa United FC,Mamelodi Sundowns,1,1,FINISHED,12/09/2026,21920188,Matchday 6,2026-2027
Siwelele FC,Golden Arrows,1,1,FINISHED,13/09/2026,21920116,Matchday 6,2026-2027
Milford FC,Richards Bay,5,1,FINISHED,13/09/2026,21920084,Matchday 6,2026-2027
TS Galaxy,Kruger United,0,1,FINISHED,13/09/2026,21920156,Matchday 6,2026-2027
Orlando Pirates,Durban City FC,,,UPCOMING,17/09/2026,21920112,Matchday 6,2026-2027
Mamelodi Sundowns,Siwelele FC,3,0,FINISHED,09/09/2026,21920012,Matchday 7,2026-2027
Richards Bay,Sekhukhune United,,,UPCOMING,19/09/2026,21920165,Matchday 7,2026-2027
Polokwane City,AmaZulu FC,,,UPCOMING,19/09/2026,21920050,Matchday 7,2026-2027
Kruger United,Stellenbosch,,,UPCOMING,19/09/2026,21920195,Matchday 7,2026-2027
Golden Arrows,Kaizer Chiefs,,,UPCOMING,20/09/2026,21920199,Matchday 7,2026-2027
Milford FC,Durban City FC,,,UPCOMING,20/09/2026,21920145,Matchday 7,2026-2027
Marumo Gallants,Orlando Pirates,,,UPCOMING,20/09/2026,21920170,Matchday 7,2026-2027
TS Galaxy,Chippa United FC,,,UPCOMING,20/09/2026,21920088,Matchday 7,2026-2027
Durban City FC,AmaZulu FC,,,UPCOMING,13/10/2026,21920123,Matchday 8,2026-2027
Golden Arrows,Milford FC,,,UPCOMING,17/10/2026,21920024,Matchday 8,2026-2027
Chippa United FC,Kruger United,,,UPCOMING,17/10/2026,21920176,Matchday 8,2026-2027
Kaizer Chiefs,Stellenbosch,,,UPCOMING,17/10/2026,21920173,Matchday 8,2026-2027
Sekhukhune United,Marumo Gallants,,,UPCOMING,17/10/2026,21920196,Matchday 8,2026-2027
Richards Bay,Mamelodi Sundowns,,,UPCOMING,17/10/2026,21920223,Matchday 8,2026-2027
Siwelele FC,Polokwane City,,,UPCOMING,18/10/2026,21920099,Matchday 8,2026-2027
Orlando Pirates,TS Galaxy,,,UPCOMING,18/10/2026,21920191,Matchday 8,2026-2027
Marumo Gallants,Siwelele FC,,,UPCOMING,30/10/2026,21920054,Matchday 9,2026-2027
Stellenbosch,Chippa United FC,,,UPCOMING,30/10/2026,21920007,Matchday 9,2026-2027
Orlando Pirates,Kaizer Chiefs,,,UPCOMING,31/10/2026,21920178,Matchday 9,2026-2027
AmaZulu FC,Golden Arrows,,,UPCOMING,31/10/2026,21920063,Matchday 9,2026-2027
Polokwane City,TS Galaxy,,,UPCOMING,31/10/2026,21920114,Matchday 9,2026-2027
Kruger United,Richards Bay,,,UPCOMING,31/10/2026,21920071,Matchday 9,2026-2027
Mamelodi Sundowns,Durban City FC,,,UPCOMING,01/11/2026,21920118,Matchday 9,2026-2027
Milford FC,Sekhukhune United,,,UPCOMING,01/11/2026,21920217,Matchday 9,2026-2027
Mamelodi Sundowns,Milford FC,2,0,FINISHED,02/09/2026,21920095,Matchday 10,2026-2027
